time,mixture cell P,reference cell P,mixture cell T,reference cell T
1900-01-01 13:58:41.368781,14.130788,14.353835,55.596403,56.099719
1900-01-01 13:58:42.368115,14.137268,14.355847,55.592534,56.097425
1900-01-01 13:58:43.368446,14.117828,14.359872,55.590723,56.100112
1900-01-01 13:58:44.368781,14.130788,14.347798,55.595885,56.103698
1900-01-01 13:58:45.368114,14.150228,14.353835,55.596766,56.105478
1900-01-01 13:58:46.368977,14.124308,14.345786,55.598451,56.107388
1900-01-01 13:58:47.369049,14.124308,14.351823,55.600304,56.106767
1900-01-01 13:58:48.369135,14.130788,14.359872,55.600688,56.109625
1900-01-01 13:58:49.369409,14.130788,14.351823,55.605721,56.111283
1900-01-01 13:58:50.369281,14.127548,14.357859,55.604872,56.111559
1900-01-01 13:58:51.369790,14.143748,14.353835,55.602748,56.110335
1900-01-01 13:58:52.371041,14.117828,14.347798,55.602993,56.11148
1900-01-01 13:58:53.370214,14.114588,14.355847,55.601609,56.109196
1900-01-01 13:58:54.370799,14.140508,14.353835,55.6082,56.114211
1900-01-01 13:58:55.371204,14.121068,14.351823,55.609728,56.114615
1900-01-01 13:58:56.371428,14.140508,14.357859,55.607078,56.115338
1900-01-01 13:58:57.371511,14.127548,14.355847,55.60525,56.110587
1900-01-01 13:58:58.371373,14.127548,14.353835,55.604391,56.112877
1900-01-01 13:58:59.371509,14.137268,14.359872,55.604855,56.114465
1900-01-01 13:59:00.373055,14.134028,14.351823,55.605406,56.114566
1900-01-01 13:59:01.372376,14.134028,14.355847,55.604788,56.110125
1900-01-01 13:59:02.373250,14.137268,14.347798,55.604804,56.112615
1900-01-01 13:59:03.373593,14.137268,14.343774,55.609671,56.115682
1900-01-01 13:59:04.373707,14.140508,14.351823,55.611498,56.11481
1900-01-01 13:59:05.374334,14.114588,14.339749,55.615539,56.120199
1900-01-01 13:59:06.375237,14.127548,14.351823,55.616599,56.120809
1900-01-01 13:59:07.376179,14.130788,14.345786,55.61446,56.116197
1900-01-01 13:59:08.376207,14.124308,14.333713,55.613768,56.113932
1900-01-01 13:59:09.377502,14.134028,14.331701,55.617602,56.115966
1900-01-01 13:59:10.377631,14.111348,14.341762,55.615554,56.112793
1900-01-01 13:59:11.377250,14.101628,14.357859,55.614363,56.110704
1900-01-01 13:59:12.378423,14.114588,14.331701,55.61398,56.107623
1900-01-01 13:59:13.378594,14.101628,14.339749,55.61524,56.106858
1900-01-01 13:59:14.379646,14.095147,14.317615,55.618833,56.105053
1900-01-01 13:59:15.379333,14.101628,14.325664,55.618177,56.10822
1900-01-01 13:59:16.379546,14.114588,14.345786,55.621232,56.107676
1900-01-01 13:59:17.381342,14.124308,14.319627,55.622351,56.105197
1900-01-01 13:59:18.381575,14.114588,14.347798,55.626721,56.107767
1900-01-01 13:59:19.381691,14.121068,14.353835,55.625275,56.108121
1900-01-01 13:59:20.381692,14.104868,14.333713,55.621868,56.105839
1900-01-01 13:59:21.382635,14.130788,14.335725,55.62307,56.104117
1900-01-01 13:59:22.383150,14.124308,14.361884,55.619694,56.100742
1900-01-01 13:59:23.382600,14.121068,14.335725,55.619738,56.098088
1900-01-01 13:59:24.383352,14.104868,14.34981,55.620893,56.098793
1900-01-01 13:59:25.383382,14.117828,14.335725,55.621836,56.099286
1900-01-01 13:59:26.384407,14.130788,14.351823,55.623261,56.101835
1900-01-01 13:59:27.385418,14.134028,14.371945,55.621437,56.099111
1900-01-01 13:59:28.386323,14.150228,14.369933,55.616138,56.098986
1900-01-01 13:59:29.387366,14.140508,14.353835,55.616233,56.094584
1900-01-01 13:59:30.387575,14.137268,14.34981,55.616868,56.098366
1900-01-01 13:59:31.388787,14.114588,14.347798,55.622469,56.103292
