t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
92.709701,55.135028,57.705508,59.169575,56.250899,55.154601,58.366274,58.496322,55.850107,6.310510,12.444728,8.011759,8.303401
93.711254,55.152221,57.706726,59.184576,56.264796,55.170220,58.374766,58.502792,55.860097,6.304029,12.457690,7.989075,8.290439
94.711765,55.141178,57.706258,59.178295,56.254683,55.158952,58.371178,58.492242,55.851757,6.304029,12.454450,7.998797,8.290439
95.711669,55.133725,57.699713,59.174337,56.258141,55.161397,58.360032,58.481994,55.849029,6.307270,12.454450,7.982594,8.293680
96.712367,55.134532,57.695801,59.174197,56.255976,55.170303,58.356971,58.485672,55.847586,6.300789,12.473893,7.995556,8.290439
97.712852,55.136189,57.705994,59.178832,56.259943,55.168136,58.357115,58.486715,55.858688,6.294308,12.483614,7.966392,8.300161
98.712766,55.137596,57.696165,59.172464,56.259413,55.161894,58.362201,58.488206,55.844353,6.287827,12.457690,7.979354,8.293680
99.713481,55.137778,57.707805,59.168020,56.263282,55.164550,58.359103,58.482414,55.857353,6.284586,12.460931,7.966392,8.287199
100.712778,55.142834,57.711956,59.179403,56.269510,55.167132,58.365324,58.487511,55.860833,6.297548,12.496576,7.989075,8.280718
101.713070,55.139629,57.693925,59.165826,56.258162,55.175625,58.363647,58.479096,55.850657,6.284586,12.470652,7.972873,8.283958
102.712874,55.139325,57.694072,59.167704,56.260043,55.172397,58.361932,58.476033,55.857101,6.291067,12.467412,7.966392,8.293680
103.714318,55.138972,57.700909,59.172092,56.266910,55.166869,58.355989,58.481096,55.856748,6.284586,12.470652,7.976113,8.296920
104.715590,55.140815,57.712411,59.181217,56.261882,55.180411,58.361299,58.481914,55.862413,6.265143,12.483614,7.959911,8.296920
105.714710,55.131235,57.692733,59.173778,56.259380,55.161833,58.351836,58.474473,55.847665,6.297548,12.493336,7.966392,8.283958
106.715956,55.133691,57.701252,59.168398,56.270855,55.166088,58.362401,58.477625,55.851469,6.294308,12.480374,7.966392,8.290439
107.715622,55.151336,57.718425,59.167194,56.264928,55.174059,58.356255,58.480240,55.856513,6.284586,12.499817,7.972873,8.280718
108.716799,55.132120,57.700357,59.159356,56.258428,55.155743,58.349986,58.466559,55.853047,6.268384,12.473893,7.989075,8.283958
109.717374,55.131503,57.708728,59.171800,56.265493,55.166599,58.360638,58.466654,55.861201,6.287827,12.493336,7.956671,8.290439
110.718525,55.144209,57.709060,59.161329,56.263102,55.165357,58.354431,58.461121,55.857709,6.281346,12.480374,7.969632,8.287199
111.717614,55.144815,57.702251,59.172588,56.268306,55.167088,58.355362,58.451046,55.857416,6.274865,12.483614,7.989075,8.280718
112.718556,55.138136,57.718273,59.171984,56.264554,55.170308,58.346447,58.458753,55.848040,6.297548,12.496576,7.979354,8.287199
113.719404,55.143256,57.704738,59.166929,56.266686,55.168229,58.337571,58.458862,55.857207,6.284586,12.483614,7.992316,8.280718
114.719860,55.125664,57.694359,59.161896,56.256925,55.166836,58.324675,58.465282,55.845694,6.274865,12.486855,7.989075,8.300161
115.720253,55.147931,57.710081,59.176114,56.276109,55.176728,58.335304,58.487815,55.865703,6.291067,12.499817,7.963152,8.283958
116.719842,55.139429,57.703388,59.168809,56.271717,55.171151,58.317889,58.475342,55.850458,6.291067,12.490095,7.976113,8.306642
117.720603,55.143249,57.706304,59.176426,56.275073,55.167547,58.327531,58.488352,55.856525,6.287827,12.490095,7.972873,8.293680
118.720634,55.145654,57.716794,59.183582,56.272570,55.175576,58.325031,58.488772,55.858254,6.281346,12.512778,7.982594,8.296920
119.721278,55.147338,57.714431,59.184674,56.282207,55.179734,58.327021,58.488291,55.852516,6.281346,12.509538,7.976113,8.287199
120.720658,55.127921,57.704252,59.177472,56.268475,55.162118,58.322287,58.472103,55.850649,6.294308,12.486855,7.976113,8.277478
121.722419,55.128342,57.704673,59.174087,56.276328,55.164564,58.314633,58.464001,55.849720,6.281346,12.490095,7.950190,8.280718
122.721748,55.140810,57.707014,59.175356,56.275125,55.170733,58.319721,58.459430,55.854312,6.271624,12.486855,7.976113,8.290439
123.723030,55.139768,57.696536,59.165833,56.264914,55.173965,58.317831,58.462033,55.850347,6.294308,12.486855,7.956671,8.290439
124.723116,55.135439,57.709963,59.171003,56.266718,55.173236,58.311772,58.473493,55.844670,6.294308,12.528981,7.985835,8.293680
125.724147,55.144707,57.709557,59.176328,56.282394,55.181153,58.323838,58.480617,55.861131,6.297548,12.496576,7.989075,8.290439
126.724721,55.137340,57.703773,59.178290,56.273566,55.172662,58.309629,58.479211,55.861413,6.304029,12.506297,7.992316,8.267756
127.725623,55.144458,57.700546,59.174945,56.274263,55.172356,58.309876,58.478110,55.848963,6.284586,12.522500,7.972873,8.280718
128.726619,55.146691,57.715808,59.197167,56.287972,55.187412,58.318629,58.487088,55.868287,6.274865,12.496576,7.989075,8.280718
129.726900,55.149298,57.703807,59.186299,56.286083,55.191594,58.319662,58.475991,55.857175,6.284586,12.525740,7.969632,8.274237
130.728535,55.149529,57.717743,59.186805,56.290637,55.188000,58.304670,58.472231,55.861004,6.265143,12.509538,7.972873,8.293680
131.727953,55.149913,57.707791,59.194336,56.288960,55.178710,58.314450,58.474149,55.856889,6.287827,12.522500,7.992316,8.290439
132.728436,55.146210,57.710833,59.180635,56.282660,55.177932,58.300968,58.459321,55.850714,6.271624,12.506297,7.989075,8.287199
133.727942,55.136304,57.711052,59.171983,56.285688,55.172526,58.291414,58.460324,55.847334,6.287827,12.509538,8.011759,8.277478
134.727942,55.168746,57.722780,59.193060,56.309042,55.196193,58.311376,58.488370,55.878864,6.294308,12.528981,7.998797,8.296920
135.727667,55.134506,57.706110,59.172974,56.285780,55.168028,58.291956,58.464459,55.850709,6.307270,12.525740,7.992316,8.283958
136.729018,55.153462,57.701000,59.183384,56.287211,55.178434,58.297429,58.470830,55.855489,6.300789,12.532221,8.002037,8.270997
137.729457,55.135184,57.704766,59.176982,56.294066,55.170506,58.302929,58.465773,55.851387,6.281346,12.499817,7.992316,8.280718
138.729754,55.146553,57.702863,59.184686,56.292337,55.181200,58.305694,58.463822,55.866575,6.287827,12.519259,7.992316,8.277478
139.730115,55.139463,57.708140,59.180413,56.290532,55.182434,58.293109,58.462243,55.860162,6.304029,12.509538,8.002037,8.274237
140.729690,55.136833,57.707086,59.177902,56.300383,55.183628,58.298907,58.473207,55.853935,6.291067,12.509538,7.969632,8.280718
141.730513,55.143739,57.711736,59.191308,56.297619,55.184910,58.297943,58.464381,55.855216,6.297548,12.525740,8.005278,8.274237
142.730288,55.147082,57.724512,59.194583,56.303597,55.193878,58.313349,58.468780,55.865080,6.284586,12.509538,7.982594,8.283958
143.730629,55.148089,57.723720,59.193243,56.294386,55.200509,58.308190,58.466542,55.869685,6.268384,12.519259,7.992316,8.283958
144.731472,55.128000,57.701860,59.179681,56.293171,55.164222,58.297318,58.454772,55.851852,6.310510,12.532221,7.995556,8.283958
145.731046,55.144204,57.715796,59.191327,56.289994,55.190775,58.317729,58.455866,55.858830,6.287827,12.512778,7.989075,8.280718
146.731011,55.143765,57.708167,59.192431,56.297620,55.185386,58.312095,58.443943,55.862438,6.291067,12.512778,7.982594,8.277478
147.731374,55.143657,57.706711,59.182636,56.296805,55.188878,58.309034,58.437738,55.855809,6.281346,12.532221,7.992316,8.264516
148.731532,55.126569,57.699532,59.178876,56.289892,55.183263,58.300556,58.449026,55.850646,6.281346,12.519259,7.985835,8.287199
149.731252,55.146798,57.705804,59.181665,56.304826,55.190219,58.312106,58.446425,55.861422,6.291067,12.528981,8.002037,8.283958
150.731369,55.152342,57.701454,59.184681,56.305373,55.187888,58.311080,58.440907,55.859992,6.300789,12.532221,7.989075,8.287199
151.731377,55.132277,57.690403,59.177242,56.295900,55.177948,58.298472,58.429872,55.848256,6.284586,12.512778,7.989075,8.287199
152.731291,55.135522,57.697014,59.189134,56.304885,55.189516,58.298688,58.426270,55.853074,6.294308,12.503057,7.998797,8.283958
153.730800,55.145666,57.710740,59.189144,56.314114,55.190212,58.318016,58.421338,55.863439,6.291067,12.512778,7.995556,8.290439
154.731262,55.149974,57.700213,59.191609,56.310288,55.199693,58.321156,58.421109,55.858075,6.316991,12.516019,8.011759,8.283958
155.731347,55.130819,57.691643,59.185503,56.295179,55.193813,58.300223,58.398380,55.852196,6.294308,12.522500,7.985835,8.274237
156.732433,55.154163,57.705520,59.193271,56.312851,55.195334,58.329557,58.425242,55.866985,6.300789,12.522500,7.992316,8.274237
157.732205,55.138833,57.694929,59.187602,56.306499,55.191028,58.306365,58.415753,55.855260,6.294308,12.512778,8.027961,8.280718
158.732252,55.145316,57.687922,59.184891,56.304459,55.193461,58.308145,58.413939,55.857917,6.281346,12.538702,7.989075,8.287199
159.731704,55.147149,57.686157,59.186397,56.301920,55.188320,58.322455,58.409606,55.861323,6.307270,12.528981,8.027961,8.283958
160.733202,55.149056,57.699745,59.195161,56.316992,55.208674,58.326955,58.421967,55.865253,6.294308,12.509538,7.995556,8.274237
161.734103,55.149163,57.702099,59.195320,56.311080,55.193033,58.324643,58.403708,55.858389,6.297548,12.528981,7.972873,8.274237
162.733861,55.143284,57.692184,59.183188,56.307251,55.188505,58.320369,58.388203,55.854311,6.300789,12.532221,7.992316,8.277478
163.734715,55.142991,57.685375,59.181600,56.299140,55.189111,58.309795,58.384817,55.856042,6.297548,12.538702,7.998797,8.267756
164.735980,55.139088,57.700575,59.182230,56.305167,55.191058,58.308179,58.380057,55.852365,6.274865,12.512778,7.969632,8.283958
165.736339,55.132648,57.681112,59.171873,56.294795,55.169094,58.298267,58.372166,55.845253,6.284586,12.525740,8.011759,8.274237
166.736215,55.138154,57.689982,59.180849,56.305359,55.196424,58.296465,58.367669,55.858404,6.297548,12.525740,7.976113,8.280718
167.736114,55.140724,57.690301,59.185600,56.298199,55.180545,58.303688,58.371298,55.855350,6.268384,12.528981,7.998797,8.293680
168.736536,55.151380,57.706560,59.194537,56.320189,55.202900,58.321839,58.382485,55.865103,6.271624,12.528981,7.982594,8.277478
169.736512,55.146276,57.696519,59.192001,56.315177,55.195546,58.313237,58.368718,55.850780,6.278105,12.522500,7.998797,8.287199
170.735705,55.144434,57.707488,59.184800,56.323029,55.198429,58.307605,58.369375,55.859734,6.297548,12.522500,7.989075,8.280718
171.736536,55.143130,57.693602,59.180268,56.314894,55.185426,58.299477,58.354733,55.860904,6.261903,12.551664,7.992316,8.270997
172.736545,55.146537,57.704195,59.179252,56.310054,55.195132,58.300258,58.363600,55.857113,6.294308,12.545183,7.982594,8.280718
173.736360,55.155218,57.704552,59.184362,56.314272,55.210112,58.309413,58.368488,55.873213,6.261903,12.525740,7.982594,8.277478
174.735659,55.137240,57.702775,59.176536,56.315654,55.188760,58.287882,58.361333,55.858840,6.278105,12.535462,7.998797,8.274237
175.735729,55.142910,57.699225,59.190179,56.314926,55.194655,58.296589,58.362402,55.854612,6.284586,12.554905,7.998797,8.277478
176.737179,55.137432,57.699596,59.184808,56.311347,55.187377,58.290767,58.369159,55.852509,6.284586,12.538702,8.002037,8.274237
177.738244,55.139151,57.702436,59.188098,56.322060,55.192696,58.287544,58.356053,55.846581,6.291067,12.528981,7.989075,8.287199
178.738426,55.140746,57.684931,59.178626,56.311227,55.195866,58.281662,58.349048,55.859421,6.291067,12.519259,7.985835,8.287199
179.737830,55.142678,57.703711,59.188538,56.314632,55.195323,58.295172,58.355370,55.855280,6.291067,12.541943,7.995556,8.290439
180.738950,55.150086,57.706166,59.189758,56.310457,55.195306,58.284712,58.357264,55.857287,6.307270,12.525740,8.024721,8.283958
181.739443,55.139020,57.699609,59.187358,56.306480,55.193915,58.295114,58.361601,55.851173,6.284586,12.548424,8.005278,8.287199
182.739243,55.145815,57.701676,59.187065,56.319677,55.198459,58.283815,58.362432,55.854367,6.300789,12.551664,8.014999,8.283958
183.738804,55.147385,57.698077,59.193821,56.328466,55.203180,58.290125,58.363575,55.862459,6.271624,12.535462,8.008518,8.293680
184.740534,55.132243,57.697784,59.178201,56.326089,55.202661,58.289547,58.353115,55.860142,6.284586,12.528981,8.005278,8.283958
185.740372,55.146625,57.698891,59.188162,56.318977,55.204669,58.285586,58.350277,55.851354,6.304029,12.538702,8.005278,8.270997
186.740849,55.143934,57.695304,59.187595,56.327853,55.196128,58.286142,58.346790,55.854511,6.278105,12.545183,8.018240,8.277478
187.740882,55.139081,57.689559,59.175503,56.318442,55.198475,58.291117,58.359401,55.851684,6.294308,12.522500,8.014999,8.287199
188.741743,55.146674,57.685009,59.162116,56.312681,55.189645,58.280644,58.343762,55.857250,6.304029,12.558145,8.047404,8.274237
