t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
101.725401,55.148683,57.698475,59.166741,56.366102,55.227425,58.281677,58.354005,55.852512,6.304029,12.600271,8.066847,8.270997
102.724786,55.145552,57.703436,59.166860,56.356778,55.231942,58.284941,58.348958,55.851631,6.304029,12.584069,8.066847,8.270997
103.725759,55.158935,57.699501,59.176187,56.362745,55.245325,58.294272,58.367048,55.860736,6.300789,12.609993,8.063606,8.261275
104.726319,55.155705,57.692230,59.179862,56.372720,55.240970,58.293006,58.370949,55.858631,6.304029,12.590550,8.076568,8.267756
105.726791,55.157989,57.699455,59.175419,56.356355,55.227057,58.291706,58.363135,55.855068,6.291067,12.606752,8.083049,8.274237
106.727554,55.150647,57.689202,59.179367,56.362782,55.237263,58.290490,58.372700,55.860098,6.313750,12.593790,8.053885,8.261275
107.727520,55.149978,57.688084,59.159179,56.362578,55.234344,58.286018,58.365308,55.851333,6.297548,12.584069,8.053885,8.283958
108.728435,55.149403,57.693351,59.165563,56.369419,55.235343,58.279376,58.374390,55.850307,6.304029,12.593790,8.044163,8.258035
109.728796,55.153972,57.683535,59.162277,56.363206,55.234063,58.270473,58.358973,55.855325,6.304029,12.609993,8.066847,8.270997
110.728842,55.168453,57.698446,59.169145,56.382899,55.243369,58.289698,58.383588,55.866202,6.281346,12.590550,8.050644,8.261275
111.729814,55.152638,57.696133,59.171823,56.361298,55.241953,58.288333,58.366725,55.850618,6.304029,12.609993,8.057125,8.267756
112.730571,55.158958,57.703119,59.171645,56.373711,55.241299,58.300735,58.385640,55.859859,6.300789,12.619714,8.083049,8.261275
113.730354,55.151216,57.707070,59.169208,56.368123,55.231532,58.288863,58.378261,55.851895,6.313750,12.603512,8.070087,8.270997
114.731369,55.148138,57.690516,59.171301,56.361225,55.240378,58.282420,58.379456,55.853316,6.313750,12.606752,8.047404,8.264516
115.731440,55.144910,57.698077,59.168464,56.360633,55.232875,58.285423,58.376618,55.863133,6.278105,12.606752,8.060366,8.261275
116.731493,55.151779,57.686063,59.172378,56.370622,55.241544,58.286193,58.378287,55.856731,6.304029,12.584069,8.096011,8.248313
117.730858,55.165635,57.704394,59.167982,56.368244,55.228627,58.285614,58.378157,55.855064,6.300789,12.600271,8.063606,8.251554
118.732353,55.148831,57.696151,59.170956,56.366051,55.237021,58.272641,58.373945,55.849961,6.287827,12.600271,8.053885,8.270997
119.732827,55.154953,57.695524,59.172812,56.370383,55.235719,58.287077,58.380069,55.861928,6.310510,12.587309,8.083049,8.261275
120.733175,55.160274,57.696344,59.180992,56.363060,55.238790,58.279986,58.387128,55.858701,6.304029,12.590550,8.092771,8.270997
121.733200,55.154193,57.705325,59.178742,56.373398,55.246882,58.276612,58.386450,55.855096,6.320231,12.613233,8.105732,8.270997
122.733278,55.154866,57.705548,59.177842,56.362604,55.251379,58.270994,58.384876,55.858917,6.300789,12.597031,8.063606,8.277478
123.733121,55.150698,57.705430,59.173046,56.372416,55.238438,58.264399,58.390186,55.860823,6.287827,12.593790,8.050644,8.258035
124.733196,55.156669,57.705776,59.169387,56.369876,55.243734,58.261638,58.392141,55.846776,6.300789,12.603512,8.063606,8.274237
125.733269,55.149804,57.710154,59.175870,56.363327,55.238669,58.271043,58.380208,55.850934,6.281346,12.593790,8.057125,8.254794
126.733154,55.150974,57.701886,59.174183,56.358939,55.239614,58.273398,58.380766,55.852778,6.323472,12.597031,8.083049,8.267756
127.733035,55.161257,57.702269,59.179355,56.364344,55.247647,58.276776,58.376057,55.862382,6.304029,12.580828,8.066847,8.258035
128.732751,55.152603,57.692952,59.166902,56.362666,55.232694,58.271057,58.370563,55.849008,6.294308,12.606752,8.060366,8.245073
129.733187,55.150047,57.684109,59.167458,56.363673,55.234863,58.273185,58.369323,55.850052,6.297548,12.619714,8.089530,8.248313
130.733269,55.148796,57.686679,59.170861,56.370228,55.243285,58.271873,58.363293,55.848802,6.294308,12.609993,8.063606,8.274237
131.732937,55.156328,57.695998,59.168274,56.360442,55.237768,58.272204,58.374631,55.848234,6.300789,12.597031,8.096011,8.274237
132.732983,55.153463,57.690216,59.170404,56.365048,55.232204,58.279950,58.371146,55.862687,6.291067,12.609993,8.050644,8.248313
133.733246,55.149520,57.682234,59.164312,56.367942,55.227137,58.271610,58.363704,55.849076,6.310510,12.622955,8.092771,8.254794
134.732841,55.149341,57.686324,59.164819,56.358781,55.229657,58.259538,58.374993,55.843948,6.284586,12.609993,8.070087,8.258035
135.734523,55.149976,57.688082,59.175195,56.373892,55.252789,58.274411,58.377061,55.858302,6.291067,12.590550,8.089530,8.264516
136.734944,55.154133,57.685718,59.173631,56.365357,55.235799,58.265658,58.372353,55.844466,6.297548,12.593790,8.099251,8.264516
137.735569,55.154942,57.687200,59.171293,56.363915,55.229409,58.265116,58.378100,55.851796,6.316991,12.577588,8.105732,8.270997
138.735748,55.167648,57.707304,59.175357,56.372256,55.243464,58.272102,58.383738,55.864273,6.313750,12.606752,8.102492,8.270997
139.735847,55.150231,57.700470,59.160570,56.359923,55.232797,58.263374,58.382647,55.843489,6.313750,12.606752,8.089530,8.274237
140.736477,55.170591,57.709793,59.187873,56.372198,55.250456,58.281029,58.394910,55.862492,6.329953,12.616474,8.079809,8.248313
141.735710,55.154250,57.700439,59.171729,56.364351,55.241090,58.272740,58.387970,55.854028,6.307270,12.590550,8.070087,8.267756
142.736413,55.150446,57.712143,59.183511,56.375925,55.248984,58.290143,58.388526,55.871141,6.323472,12.619714,8.105732,8.258035
143.736263,55.160380,57.703415,59.176897,56.357385,55.240695,58.280157,58.393589,55.855208,6.339674,12.606752,8.099251,8.270997
144.737250,55.156000,57.702636,59.169421,56.362715,55.241490,58.280540,58.392175,55.853978,6.307270,12.613233,8.105732,8.264516
145.737559,55.158495,57.701533,59.171687,56.376900,55.245110,58.294038,58.401629,55.860296,6.307270,12.619714,8.112213,8.261275
146.737579,55.147869,57.697212,59.166831,56.369565,55.230435,58.284688,58.402612,55.841353,6.313750,12.616474,8.112213,8.261275
147.737362,55.154400,57.694297,59.171192,56.364489,55.230666,58.290623,58.395743,55.848331,6.326712,12.609993,8.115454,8.277478
