t,S1 ref T,S1 air 1 T,S1 air 2 T,S1 mix T,S2 ref T,S2 air 1 T,S2 air 2 T,S2 mix T,S1 ref P,S1 mix P,S2 ref P,S2 mix P
1100.927114,55.178231,57.723715,59.196553,56.410118,55.387223,58.720272,58.789666,55.835496,6.488736,12.943762,8.403856,8.254794
1101.927114,55.164630,57.713501,59.195815,56.401736,55.378796,58.708306,58.790051,55.847312,6.498457,12.953483,8.403856,8.264516
1102.927073,55.160429,57.725708,59.206791,56.409578,55.390568,58.717936,58.796537,55.844688,6.482255,12.953483,8.387654,8.245073
1103.927098,55.148900,57.706555,59.190946,56.383369,55.383764,58.707253,58.784507,55.825516,6.498457,12.937281,8.390894,8.261275
1104.927474,55.163899,57.720860,59.186702,56.398681,55.376266,58.711093,58.793288,55.835112,6.495217,12.956724,8.429780,8.264516
1105.927111,55.162535,57.711634,59.201233,56.397268,55.383675,58.717318,58.778851,55.834198,6.491976,12.972926,8.410337,8.251554
1106.927118,55.169393,57.714888,59.195778,56.405970,55.388508,58.714332,58.791586,55.838805,6.511419,12.937281,8.426539,8.277478
1107.927098,55.173928,57.724360,59.204084,56.413387,55.399116,58.729377,58.789114,55.839740,6.524381,12.940521,8.413577,8.264516
1108.927077,55.173499,57.712922,59.199243,56.405842,55.383840,58.725658,58.795725,55.837062,6.498457,12.940521,8.381173,8.258035
1109.927155,55.168198,57.715492,59.198851,56.398480,55.391812,58.724817,58.789046,55.837610,6.511419,12.959964,8.403856,8.264516
1110.926912,55.156860,57.719448,59.199101,56.406374,55.387000,58.732477,58.789969,55.833698,6.498457,12.943762,8.423299,8.254794
1111.927208,55.172743,57.726547,59.202452,56.419398,55.398156,58.739423,58.813532,55.845077,6.501698,12.953483,8.403856,8.254794
1112.926927,55.166454,57.709257,59.195716,56.412428,55.392318,58.728419,58.803651,55.839240,6.514660,12.937281,8.403856,8.270997
1113.927243,55.168475,57.715769,59.189363,56.397973,55.383766,58.728802,58.802911,55.837437,6.498457,12.953483,8.410337,8.251554
1114.926888,55.167985,57.714157,59.202421,56.406776,55.391600,58.729286,58.811255,55.847293,6.511419,12.943762,8.410337,8.264516
1115.926868,55.166508,57.712007,59.189845,56.410371,55.386523,58.736246,58.810579,55.844467,6.508179,12.972926,8.420058,8.248313
1116.927073,55.168943,57.712192,59.194558,56.408346,55.395257,58.732201,58.805188,55.836781,6.521141,12.989128,8.423299,8.251554
1117.926851,55.168130,57.717671,59.198173,56.409717,55.398717,58.741207,58.812846,55.845189,6.521141,12.963205,8.426539,8.248313
1118.928521,55.169676,57.714047,59.192482,56.405142,55.381817,58.723162,58.806255,55.838863,6.508179,12.959964,8.403856,8.254794
1119.927972,55.169337,57.720674,59.194313,56.417768,55.392052,58.726341,58.798654,55.842123,6.482255,12.972926,8.390894,8.238592
1120.928118,55.162483,57.716300,59.200769,56.408269,55.398695,58.733472,58.819933,55.847190,6.498457,12.950243,8.407096,8.261275
1121.928872,55.167830,57.702992,59.192350,56.414678,55.378398,58.717416,58.809940,55.838367,6.504938,12.956724,8.394135,8.248313
1122.930122,55.188287,57.716681,59.198334,56.413251,55.395927,58.730138,58.824684,55.842624,6.504938,12.966445,8.390894,8.254794
1123.929916,55.162963,57.697907,59.194989,56.402481,55.393102,58.731958,58.814825,55.845197,6.495217,12.966445,8.410337,8.254794
1124.930814,55.175820,57.698614,59.193289,56.411796,55.389536,58.721275,58.818066,55.845680,6.485496,12.969686,8.390894,8.267756
1125.930864,55.169207,57.691335,59.193275,56.410658,55.385623,58.719239,58.828157,55.841543,6.501698,12.969686,8.387654,8.267756
1126.931075,55.173816,57.695938,59.195244,56.414878,55.396305,58.735133,58.820470,55.838728,6.495217,12.985888,8.397375,8.248313
1127.931733,55.170227,57.692578,59.196451,56.414962,55.391366,58.733645,58.817860,55.851108,6.498457,12.934040,8.381173,8.261275
1128.932696,55.165723,57.685609,59.190559,56.407939,55.380339,58.718095,58.823870,55.845481,6.482255,12.959964,8.374692,8.254794
1129.933192,55.175508,57.694258,59.196408,56.396708,55.390124,58.724843,58.827698,55.846267,6.491976,12.959964,8.384413,8.264516
1130.932858,55.172192,57.698360,59.188135,56.405961,55.391081,58.728696,58.827508,55.844526,6.498457,12.972926,8.384413,8.248313
1131.933422,55.167228,57.706884,59.198360,56.406982,55.398490,58.722305,58.823587,55.848560,6.498457,12.956724,8.407096,8.264516
1132.933188,55.173349,57.703336,59.188866,56.410965,55.395163,58.724936,58.822176,55.850406,6.485496,12.976167,8.387654,8.261275
1133.933214,55.165223,57.697018,59.193278,56.415832,55.395586,58.730472,58.829957,55.840934,6.498457,12.950243,8.384413,8.258035
1134.933187,55.169907,57.698550,59.188275,56.404977,55.390371,58.716259,58.823830,55.837969,6.479015,12.972926,8.390894,8.261275
1135.933324,55.170028,57.708782,59.202991,56.416565,55.403315,58.723792,58.839896,55.841914,6.491976,12.940521,8.394135,8.258035
1136.933195,55.173164,57.696635,59.182668,56.400261,55.392728,58.709528,58.841128,55.847072,6.472534,12.989128,8.394135,8.254794
1137.932965,55.165112,57.695559,59.189103,56.399511,55.390976,58.710799,58.842175,55.845545,6.485496,12.953483,8.384413,8.254794
1138.933249,55.168484,57.704993,59.199555,56.415597,55.393673,58.722376,58.851505,55.840820,6.488736,12.972926,8.387654,8.248313
1139.933366,55.174579,57.694229,59.188464,56.405391,55.386495,58.710610,58.834125,55.841740,6.488736,12.950243,8.390894,8.245073
1140.933305,55.169731,57.695004,59.188835,56.409584,55.386597,58.711654,58.826861,55.845440,6.491976,12.943762,8.400616,8.245073
1141.933187,55.172276,57.696872,59.190518,56.399803,55.392290,58.714460,58.823828,55.838313,6.501698,12.953483,8.407096,8.245073
1142.933399,55.162926,57.694949,59.194491,56.399960,55.400038,58.718435,58.829149,55.843585,6.495217,12.976167,8.384413,8.264516
1143.933178,55.162897,57.697616,59.187146,56.397101,55.386062,58.722541,58.834378,55.833885,6.488736,12.969686,8.413577,8.251554
1144.933133,55.170107,57.696053,59.197058,56.410399,55.389222,58.731333,58.838678,55.844916,6.488736,12.953483,8.400616,8.261275
1145.933190,55.170517,57.704103,59.187253,56.407775,55.394581,58.723322,58.838303,55.840379,6.485496,12.979407,8.394135,8.251554
1146.933251,55.180224,57.711775,59.205736,56.419314,55.398213,58.729907,58.847807,55.851431,6.498457,12.959964,8.403856,8.254794
1147.933396,55.164212,57.710612,59.193134,56.404896,55.394575,58.715280,58.830037,55.832951,6.491976,12.989128,8.394135,8.261275
1148.933215,55.177696,57.713294,59.198572,56.407643,55.395685,58.727682,58.850747,55.841707,6.485496,12.969686,8.394135,8.251554
1149.933071,55.169770,57.718186,59.203036,56.421331,55.403732,58.717549,58.834551,55.856499,6.485496,12.963205,8.403856,8.254794
1150.933185,55.167432,57.707312,59.193828,56.406490,55.392620,58.714402,58.839040,55.840667,6.501698,12.959964,8.371451,8.258035
1151.934727,55.162179,57.708807,59.195634,56.410323,55.388493,58.705879,58.830966,55.836541,6.498457,12.969686,8.410337,8.270997
